# CONSTRUCT SCORES
Level,Construct,Tier,Normalized Score [-1 to +1],Standard Error (SE),Raw Score,Abs Weight Sum,Answered Items,Total Items
"Meta-Trait","Stability","Low",-0.5000,1.0000,-0.2110,0.4220,1,82
"Meta-Trait","Plasticity","Average",0.0000,1.0000,0.0000,0.4660,1,99
"Meta-Trait","Disinhibition","N/A",N/A,N/A,0.0000,0.0000,0,40
"Trait","Neuroticism","High",0.5000,1.0000,0.2070,0.4140,1,48
"Trait","Sociability","Average",0.0000,1.0000,0.0000,0.1990,1,58
"Trait","Conscientiousness","N/A",N/A,N/A,0.0000,0.0000,0,34
"Trait","Integrity","N/A",N/A,N/A,0.0000,0.0000,0,14
"Trait","Openness to Experience","N/A",N/A,N/A,0.0000,0.0000,0,41
"Trait","Impulsivity","N/A",N/A,N/A,0.0000,0.0000,0,26
"Facet","Anxiety","N/A",N/A,N/A,0.0000,0.0000,0,18
"Facet","Gregariousness","N/A",N/A,N/A,0.0000,0.0000,0,22
"Facet","Trust","N/A",N/A,N/A,0.0000,0.0000,0,3
"Facet","Self-efficacy","N/A",N/A,N/A,0.0000,0.0000,0,7
"Facet","Anger","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Fairness","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Orderliness","N/A",N/A,N/A,0.0000,0.0000,0,11
"Facet","Dominance","N/A",N/A,N/A,0.0000,0.0000,0,14
"Facet","Emotionality","High",0.5000,1.0000,0.2485,0.4970,1,7
"Facet","Adventurousness","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Determination","N/A",N/A,N/A,0.0000,0.0000,0,4
"Facet","Excitement-seeking","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Intellect","N/A",N/A,N/A,0.0000,0.0000,0,10
"Facet","Attention-seeking","Average",0.0000,1.0000,0.0000,0.5340,1,7
"Facet","Cheerfulness","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Liberalism","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Artistic Interests","N/A",N/A,N/A,0.0000,0.0000,0,7
"Facet","Empathy","N/A",N/A,N/A,0.0000,0.0000,0,14
"Facet","Work Ethic","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Cautiousness","N/A",N/A,N/A,0.0000,0.0000,0,10
"Facet","Manipulativeness","N/A",N/A,N/A,0.0000,0.0000,0,6
"Facet","Humility","N/A",N/A,N/A,0.0000,0.0000,0,3
"Facet","Introspection","N/A",N/A,N/A,0.0000,0.0000,0,6
"Facet","Honesty","N/A",N/A,N/A,0.0000,0.0000,0,3
"Facet","Immoderation","N/A",N/A,N/A,0.0000,0.0000,0,6
"Facet","Self-discipline","N/A",N/A,N/A,0.0000,0.0000,0,4
"Facet","Recklessness","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Calmness","N/A",N/A,N/A,0.0000,0.0000,0,3

# ITEM RESPONSES
Question #,Label,Question Text,Meta-Trait,Meta Weight,Trait,Trait Weight,Facet,Facet Weight,Response,Numeric Score
163,"Anxiety_121","Get caught up in my problems.","Stability",-0.422,"Neuroticism",0.493,"Anxiety",0.332,"Unanswered",N/A
164,"Altruism_284","Take no time for others.","Plasticity",-0.466,"Sociability",-0.397,"Empathy",-0.315,"Unanswered",N/A
165,"Liberalism_178","Believe that too much tax money goes to support artists.","Plasticity",-0.466,"Openness to Experience",-0.237,"Liberalism",-0.239,"Unanswered",N/A
166,"Modesty_264","Boast about my virtues.","Plasticity",0.466,"Sociability",0.199,"Attention-seeking",0.276,"Unanswered",N/A
167,"Self.Efficacy_245","Have little to contribute.","Stability",-0.422,"Conscientiousness",-0.459,"Self-efficacy",-0.164,"Unanswered",N/A
168,"Cheerfulness_57","Have a lot of fun.","Plasticity",0.466,"Sociability",0.400,"Cheerfulness",0.312,"Unanswered",N/A
169,"Orderliness_130","Do things according to a plan.","Stability",0.422,"Conscientiousness",0.322,"Orderliness",0.270,"Unanswered",N/A
170,"Self.Consciousness_286","Am able to stand up for myself.","Stability",-0.422,"Neuroticism",0.106,"Dominance",0.312,"Unanswered",N/A
171,"Anger_246","Keep my cool.","Stability",0.422,"Neuroticism",-0.629,"Anger",-0.282,"Unanswered",N/A
172,"Intellect_173","Am not interested in abstract ideas.","Plasticity",-0.466,"Openness to Experience",-0.459,"Intellect",-0.272,"Unanswered",N/A
173,"Immoderation_51","Don't know why I do some of the things I do.","Disinhibition",-0.580,"Impulsivity",0.445,"Cautiousness",-0.170,"Unanswered",N/A
174,"Friendliness_182","Often feel uncomfortable around others.","Plasticity",-0.466,"Sociability",-0.746,"Gregariousness",-0.395,"Unanswered",N/A
175,"Self.Consciousness_46","Am afraid that I will do the wrong thing.","Stability",-0.422,"Neuroticism",0.493,"Anxiety",0.306,"Unanswered",N/A
176,"Sympathy_239","Try not to think about the needy.","Plasticity",-0.466,"Sociability",-0.397,"Empathy",-0.312,"Unanswered",N/A
177,"Artistic.Interests_38","Like music.","Plasticity",0.466,"Openness to Experience",0.371,"Artistic Interests",0.190,"Unanswered",N/A
178,"Liberalism_58","Believe that there is no absolute right or wrong.","Plasticity",0.466,"Openness to Experience",0.237,"Liberalism",0.217,"Unanswered",N/A
179,"Self.Efficacy_185","Misjudge situations.","Disinhibition",-0.580,"Impulsivity",0.445,"Cautiousness",-0.159,"Unanswered",N/A
180,"Friendliness_122","Cheer people up.","Plasticity",0.466,"Sociability",0.400,"Cheerfulness",0.281,"Unanswered",N/A
181,"Assertiveness_12","Take charge.","Stability",-0.422,"Neuroticism",0.106,"Dominance",0.305,"Unanswered",N/A
182,"Intellect_23","Like to solve complex problems.","Plasticity",0.466,"Openness to Experience",0.459,"Intellect",0.266,"Unanswered",N/A
183,"Vulnerability_236","Know how to cope.","Stability",0.422,"Neuroticism",-0.493,"Anxiety",-0.302,"Unanswered",N/A
184,"Gregariousness_67","Enjoy being part of a group.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.390,"Unanswered",N/A
185,"Cautiousness_60","Choose my words with care.","Disinhibition",0.580,"Impulsivity",-0.445,"Cautiousness",0.153,"Unanswered",N/A
186,"Morality_219","Pretend to be concerned for others.","Plasticity",-0.466,"Sociability",-0.397,"Empathy",-0.282,"Unanswered",N/A
187,"Adventurousness_78","Interested in many things.","Plasticity",0.466,"Openness to Experience",0.319,"Adventurousness",0.174,"Unanswered",N/A
188,"Cooperation_79","Hate to seem pushy.","Stability",0.422,"Neuroticism",-0.106,"Dominance",-0.296,"Unanswered",N/A
189,"Anxiety_181","Am relaxed most of the time.","Stability",0.422,"Neuroticism",-0.493,"Anxiety",-0.277,"Unanswered",N/A
190,"Friendliness_32","Warm up quickly to others.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.383,"Unanswered",N/A
191,"Cautiousness_30","Avoid mistakes.","Stability",0.422,"Conscientiousness",0.322,"Orderliness",0.168,"Unanswered",N/A
192,"Vulnerability_176","Remain calm under pressure.","Stability",0.422,"Neuroticism",-0.493,"Anxiety",-0.262,"Unanswered",N/A
193,"Friendliness_152","Am hard to get to know.","Plasticity",-0.466,"Sociability",-0.746,"Gregariousness",-0.380,"Unanswered",N/A
194,"Dutifulness_75","Pay my bills on time.","Stability",0.422,"Conscientiousness",0.322,"Orderliness",0.158,"Unanswered",N/A
195,"Anger_276","Rarely complain.","Stability",0.422,"Neuroticism",-0.629,"Anger",-0.170,"Unanswered",N/A
196,"Altruism_44","Anticipate the needs of others.","Plasticity",0.466,"Sociability",0.397,"Empathy",0.223,"Unanswered",N/A
197,"Anxiety_151","Am not easily bothered by things.","Stability",0.422,"Neuroticism",-0.493,"Anxiety",-0.256,"Unanswered",N/A
198,"Excitement.Seeking_112","Enjoy being part of a loud crowd.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.364,"Unanswered",N/A
199,"Sympathy_299","Can't stand weak people.","Plasticity",-0.466,"Openness to Experience",-0.237,"Liberalism",-0.128,"Unanswered",N/A
200,"Altruism_224","Make people feel uncomfortable.","Stability",-0.422,"Neuroticism",0.106,"Dominance",0.207,"Unanswered",N/A
201,"Anxiety_211","Am not easily disturbed by events.","Stability",0.422,"Neuroticism",-0.493,"Anxiety",-0.247,"Unanswered",N/A
202,"Altruism_254","Turn my back on others.","Plasticity",-0.466,"Sociability",-0.397,"Empathy",-0.202,"Unanswered",N/A
203,"Self.Consciousness_76","Find it difficult to approach others.","Plasticity",-0.466,"Sociability",-0.746,"Gregariousness",-0.345,"Unanswered",N/A
204,"Achievement.Striving_200","Demand quality.","Stability",0.422,"Conscientiousness",0.322,"Orderliness",0.124,"Unanswered",N/A
205,"Adventurousness_258","Dislike new foods.","Plasticity",-0.466,"Openness to Experience",-0.319,"Adventurousness",-0.111,"Unanswered",N/A
206,"Self.Consciousness_166","Stumble over my words.","Plasticity",-0.466,"Openness to Experience",-0.459,"Intellect",-0.137,"Unanswered",N/A
207,"Trust_154","Think that all will be well.","Stability",0.422,"Neuroticism",-0.493,"Anxiety",-0.214,"Unanswered",N/A
208,"Gregariousness_277","Seek quiet.","Plasticity",-0.466,"Sociability",-0.746,"Gregariousness",-0.323,"Unanswered",N/A
209,"Emotionality_73","Am passionate about causes.","Plasticity",0.466,"Sociability",0.397,"Empathy",0.179,"Unanswered",N/A
210,"Sympathy_179","Tend to dislike soft-hearted people.","Plasticity",-0.466,"Sociability",-0.397,"Empathy",-0.179,"Unanswered",N/A
211,"Activity.Level_137","React quickly.","Stability",-0.422,"Neuroticism",0.106,"Dominance",0.159,"Unanswered",N/A
212,"Self.Consciousness_136","Only feel comfortable with friends.","Plasticity",-0.466,"Sociability",-0.746,"Gregariousness",-0.307,"Unanswered",N/A
213,"Vulnerability_266","Readily overcome setbacks.","Stability",0.422,"Neuroticism",-0.493,"Anxiety",-0.185,"Unanswered",N/A
214,"Sympathy_89","Value cooperation over competition.","Stability",0.422,"Neuroticism",-0.106,"Dominance",-0.153,"Unanswered",N/A
215,"Gregariousness_97","Involve others in what I am doing.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.260,"Unanswered",N/A
216,"Vulnerability_116","Can't make up my mind.","Stability",-0.422,"Neuroticism",0.493,"Anxiety",0.150,"Unanswered",N/A
217,"Assertiveness_192","Keep in the background.","Plasticity",-0.466,"Sociability",-0.746,"Gregariousness",-0.241,"Unanswered",N/A
218,"Assertiveness_102","Seek to influence others.","Stability",-0.422,"Neuroticism",0.106,"Dominance",0.132,"Unanswered",N/A
219,"Gregariousness_127","Love surprise parties.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.198,"Unanswered",N/A
220,"Self.Consciousness_256","Am not bothered by difficult social situations.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.178,"Unanswered",N/A
221,"Altruism_14","Make people feel welcome.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.176,"Unanswered",N/A
